rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
rec-0000-org,female,isabelle,hage,2614,canberra,08 6464 5643,2318 3093 2335 8482,33413.30,4,45992.8,76,na,70.858
rec-0001-org,male,maggie,buckell,2612,sydney,02 4755 1579,8575 1766 4096 9268,36792.78,59,77017.3,67,na,77.461
rec-0002-org,female,esther,runis,2615,perth,07 4469 5239,7388 1147 1766 6189,61591.05,51,18999.1,20,f,71.757
rec-0003-org,female,amy,tardrew,2615,sydney,03 1734 7466,0402 0800 2778 7059,57142.36,65,107772.4,107,f,79.087
rec-0004-org,female,paige,webb,2605,sydney,04 3405 6546,3347 1884 8027 1972,49328.24,75,63087.0,41,f,76.963
rec-0005-org,male,brianna,perriam,2605,sydney,08 8781 1123,8162 2754 0995 0072,60270.39,94,39942.6,76,na,74.108
rec-0006-org,female,holly,dixon,2913,brisbane,07 2228 7204,4990 8114 5450 0428,34570.62,27,12342.5,60,f,76.590
rec-0007-org,male,alessandra,pinnuck,2607,perth,04 9183 3506,3728 3096 0696 7294,64336.53,30,161327.8,82,f,75.576
rec-0008-org,male,ebony,braunack,2605,canberra,08 1674 8271,7046 4622 4312 4662,47343.43,34,55935.7,67,f,76.384
rec-0009-org,male,molly,sayagha,2605,melbourne,02 6917 4528,9540 9113 0264 1317,103352.68,117,132151.6,99,f,71.664
rec-0010-org,male,zoe,matthews,2905,melbourne,03 5096 4734,5124 9897 8908 0201,58927.39,102,34068.7,55,m,75.450
rec-0011-dup-0,male,ellie,ransob,261t,canbeera,03 2126 2290,4267 35343376 8538,38750.34,84,122708.1,69,f,81.157
rec-0011-dup-1,,elli,ranzon,261r,cannerra,03 2126 2290,4267 3534 3376 8538,38750.34,84,122708.1,96,f,81.157
rec-0011-org,male,ellie,ranson,2615,canberra,03 2126 2290,4267 3534 3376 8538,38750.34,84,122708.1,96,f,81.157
rec-0012-org,male,lily,volframs,2604,perth,03 4840 3313,4116 8263 3922 9266,60001.54,113,120009.9,80,na,74.369
rec-0013-org,male,charlotte,cheers,2903,melbourne,03 6683 4231,8417 6554 5398 0350,87668.56,14,70756.0,49,na,85.702
rec-0014-org,male,daniella,purus,2601,melbourne,04 0912 9847,0639 6339 5060 0437,94346.97,7,48762.0,83,f,77.546
rec-0015-org,male,sarah,curry,2615,perth,03 8546 0080,7241 9127 3055 9176,4582.69,50,75805.1,29,f,70.852
rec-0016-org,female,ellie,rylands,2603,brisbane,08 0357 7405,1108 3607 3578 8835,78060.40,30,87626.4,37,m,80.922
rec-0017-org,male,rebecca,reid,2905,melbourne,07 8927 0690,6585 5400 9230 2076,34461.26,102,184189.4,70,f,70.261
rec-0018-org,female,bianca,dibben,2603,brisbane,07 3653 8756,6163 4195 1521 7152,25250.17,33,27330.3,103,na,73.829
rec-0019-org,male,tegan,haskett,2611,sydney,07 9349 0356,5725 7718 9245 1150,62290.49,2,32893.9,22,m,78.558
rec-0020-org,male,maya,kert,2600,melbourne,07 9571 1486,8629 3389 3117 6168,56323.27,83,31246.2,12,na,74.314
rec-0021-org,female,alicia,bishop,2603,melbourne,03 9352 1234,7946 7115 1750 0296,61858.80,46,167639.4,25,f,82.352
rec-0022-org,female,ella,nguyen,2602,melbourne,02 0270 3926,4820 1407 3209 6209,64018.39,87,59367.2,92,m,73.041
rec-0023-org,female,julia,bruhn,2902,sydney,04 9075 2350,4410 5735 2958 0973,64611.75,103,17560.8,61,na,70.398
rec-0024-dup-0,male,emiiki,wite,26q1,pertn,03 7582 4758,6534 368978 9021 2420,24552.69,98,58345.6,70,na,82.632
rec-0024-dup-1,male,emkiily,whlte,2611,perh,,6534 6898 9021 32420,24552.69,98,58345.6,70,na,82.632
rec-0024-dup-2,,emiily,wite,2611,perth,,6534 6898 90271 32420,24552.69,98,58345.6,870,na,82.632
rec-0024-org,male,emiily,white,2611,perth,03 7582 4758,6534 6898 9021 2420,24552.69,98,58345.6,70,na,82.632
rec-0025-org,female,kiera,vorrasi,2615,hobart,03 9961 9340,1774 1578 2346 3260,33855.17,76,98872.9,16,m,75.431
rec-0026-org,male,kasey,forwood,2615,melbourne,08 5355 2206,0348 1687 6486 6183,43255.05,71,135374.9,95,f,78.475
rec-0027-org,male,hannah,xie,2605,melbourne,07 3525 3377,9755 6209 5433 6488,49678.07,83,24011.6,16,m,74.316
rec-0028-org,male,grace,bartel,2614,perth,04 6011 1537,8245 3108 3422 5383,52592.75,120,24691.0,37,na,71.899
rec-0029-org,female,brianna,tippins,2906,melbourne,07 7586 7060,7300 4943 3681 2289,67541.47,61,118434.7,39,na,80.789
rec-0030-org,female,bianca,thiry,2602,perth,08 0015 2204,9857 3226 5202 1753,102629.75,21,122916.7,21,f,83.980
rec-0031-org,female,eliza,lock,2600,perth,07 3984 9235,7230 7563 7559 4933,44820.77,2,72546.5,40,f,76.744
rec-0032-org,male,ella,campbell,2603,melbourne,04 3346 5175,1028 9223 5619 1441,50417.43,38,82562.1,66,f,78.995
rec-0033-dup-0,,stana,petersen,26q4,perth,,0695 698 0387 1410,71481.16,60,103355.4,68,na,80.662
rec-0033-org,female,shana,petersen,2614,perth,08 8155 2215,0695 6981 0387 1410,71481.16,60,103355.4,68,na,80.662
rec-0034-org,male,kelsey,rundle,2605,sydney,07 5428 4982,8330 2534 6832 2407,85278.51,115,48494.3,31,m,72.948
rec-0035-org,female,keeley,leane,2614,sydney,03 8104 3732,4047 7489 4196 8121,41979.70,76,35234.0,30,na,73.062
rec-0036-org,female,sarah,wedmaier,2615,sydney,02 5347 3739,7040 2663 7113 2775,32707.95,101,124692.7,50,na,76.728
rec-0037-org,female,lily,spalvins,2614,canberra,07 8077 7767,2734 1499 7798 0618,79929.74,101,32053.3,26,m,75.412
rec-0038-org,female,sarah,clarke,2607,brisbane,03 0397 6801,6776 1576 8680 4257,12957.94,86,66607.3,84,na,74.032
rec-0039-org,female,annabelle,truman,2607,melbourne,08 6111 8991,4198 7540 4436 3346,58378.34,112,32724.5,32,na,73.623
rec-0040-org,male,stephanie,bitmead,2615,melbourne,02 6811 7801,3993 3225 8112 1997,26965.46,58,194453.6,74,f,76.151
rec-0041-org,male,jessica,everett,2903,sydney,08 1934 5586,9359 6400 8946 0906,37595.42,111,90042.1,30,na,79.606
rec-0042-org,male,erin,white,2902,melbourne,03 3926 1270,7145 0536 4909 1000,79558.84,52,66848.9,63,na,74.822
rec-0043-org,female,danielle,gully,2913,brisbane,02 0093 5391,2573 0049 7159 9647,51085.79,84,82411.9,52,na,73.741
rec-0044-org,female,emiily,donaldson,2905,perth,03 0129 4002,5332 2536 4316 5785,38721.68,28,114792.8,20,f,73.032
rec-0045-org,female,monique,prak,2614,melbourne,04 8628 3756,7045 2433 6921 5965,76698.43,53,79728.9,83,m,74.831
rec-0046-org,female,ryleh,clarke,2602,sydney,07 4528 8010,0175 2350 8987 8117,61568.42,84,26390.7,45,m,65.681
rec-0047-org,male,georgia,mexted,2600,canberra,07 1907 2323,9022 2034 1774 5225,79976.28,63,166321.8,71,f,80.240
rec-0048-org,male,isabella,green,2903,melbourne,08 1035 6173,3348 3090 5169 4500,38755.28,19,18897.7,15,f,73.111
rec-0049-org,female,shanaye,loosmore,2611,perth,03 5118 3396,9127 0887 3602 5905,45116.27,21,54478.0,64,f,73.712
rec-0050-org,male,emma,nguyen,2615,canberra,08 0443 5658,3511 0683 7065 6776,57401.53,79,53498.3,62,f,77.604
rec-0051-org,female,nicola,green,2615,brisbane,03 5344 3366,8263 1337 3875 7980,64144.93,23,66829.0,110,f,73.669
rec-0052-org,male,gracie,britten,2615,sydney,08 7820 8556,7565 6212 4049 5605,98721.97,21,134672.0,78,f,73.082
